,시군명,사업상태,소재지지번주소,사업허가일자,소요부지면적(㎡),위도,경도,지목
1,가평군,사업허가,경기도 가평군 북면,2009-01-20,2435,,,임야
2,가평군,사업허가,경기도 가평군 가평읍,2011-12-12,1750,37.8206542,127.475502,임야
3,가평군,사업허가,경기도 가평군 가평읍,2012-01-16,1085,37.73905044,127.4987504,임야
4,가평군,사업허가,경기도 가평군 가평읍,2012-01-16,269.19,37.73905044,127.4987504,임야
5,가평군,사업허가,경기도 가평군 북면,2015-04-10,2242,,,임야
6,가평군,사업허가,경기도 가평군 가평읍,2015-06-01,1750,37.82067758,127.4764107,임야
7,가평군,사업허가,경기도 가평군 북면,2015-09-03,2292,,,임야
8,광주시,사업개시,경기도 성남시 분당구,2016-01-28,334,37.35879148,127.1149348,임야
9,동두천시,운영중,경기도 동두천시 탑동동,2016-02-24,,,,임야
10,수원시,운영중,경기도 수원시 영통구 하동,2016-05-09,8840,,,임야
11,안산시,사업허가,경기도 안산시 단원구 대부북동,2016-05-23,,,,임야
12,안산시,사업허가,경기도 안산시 단원구 대부북동,2016-05-23,,37.27400662,126.5735796,임야
13,안산시,운영중,경기도 안산시 단원구 대부남동,2016-06-01,,37.19812315,126.5640189,대/전/임야
14,안산시,사업허가,경기도 안산시 단원구 대부북동,2016-06-01,,37.27250533,126.5745239,임야
15,안산시,운영중,경기도 안산시 상록구 팔곡일동,2016-06-01,,37.30448413,126.8819888,임야
16,양평군,사업허가,경기도 양평군 서종면,2016-06-01,,,,임야
17,양평군,사업허가,경기도 양평군 지평면,2016-06-21,2499,,,임야
18,양평군,사업허가,경기도 양평군 단월면,2016-06-21,,,,임야
19,양평군,사업허가,경기도 양평군 지평면,2016-07-19,,,,임야
20,양평군,운영중,경기도 양평군 용문면,2016-08-09,956,,,임야
21,양평군,사업허가,경기도 양평군 지평면,2016-08-25,1370,,,임야
22,양평군,사업허가,경기도 양평군 지평면,2016-08-25,1318,,,임야
23,양평군,사업허가,경기도 양평군 지평면,2016-08-25,1290,,,임야
24,양평군,사업허가,경기도 양평군 양평읍,2016-08-25,433,,,전/임야
25,양평군,사업허가,경기도 양평군 양동면,2016-08-25,15710,,,임야
26,양평군,운영중,경기도 양평군 양평읍,2016-08-25,,,,임야
27,양평군,사업허가,경기도 양평군 지평면,2016-08-25,,,,임야
28,양평군,사업허가,경기도 양평군 개군면,2016-08-25,142,,,임야
29,양평군,사업허가,경기도 양평군 지평면,2016-08-25,9322,,,임야
30,양평군,사업허가,경기도 양평군 지평면 일신리,2016-08-25,1313,,,임야
31,양평군,운영중,경기도 양평군 용문면,2016-08-25,1209,,,임야
32,양평군,사업허가,경기도 양평군 개군면,2016-09-02,4650,,,임야
33,양평군,사업허가,경기도 양평군 청운면,2016-10-13,573.39,,,임야
34,연천군,사업허가,경기도 연천군 백학면,2016-10-17,7400,,,임야
35,연천군,사업허가,경기도 연천군 전곡읍,2016-12-20,4000,,,임야
36,연천군,사업허가,경기도 연천군 왕징면,2016-12-20,1290,,,임야
37,연천군,사업허가,경기도 연천군 왕징면,2016-12-21,644,,,임야
38,연천군,사업허가,경기도 연천군 왕징면,2017-01-02,4363,,,임야
39,연천군,사업허가,경기도 연천군 미산면,2017-01-02,1356,,,임야
40,연천군,사업허가,경기도 연천군 미산면,2017-01-05,1605,,,임야
41,연천군,사업허가,경기도 연천군 왕징면,2017-01-26,1330,,,임야
42,연천군,사업허가,경기도 연천군 왕징면,2017-01-26,1650.75,,,임야
43,연천군,사업허가,경기도 연천군 전곡읍,2017-04-20,7485,,,임야
44,연천군,사업허가,경기도 연천군 미산면,2017-05-01,9000,,,임야
45,연천군,사업허가,경기도 연천군 미산면,2017-05-17,3000,,,임야
46,연천군,운영중,경기도 연천군 미산면,2017-06-28,2168,,,임야
47,연천군,운영중,경기도 연천군 신서면,2017-07-27,600,,,임야
48,연천군,사업허가,경기도 연천군 백학면,2017-07-27,2200,,,임야
49,연천군,사업허가,경기도 연천군 신서면,2017-08-01,1500,,,임야
