사업완료년도,관리번호,시행상위기관명,시행하위기관명,시공소재지시도명,시공소재지시군구명,시공소재지읍면동명,시공소재지리명,국비(백만원),지방비(백만원),합계사업비(백만원)
2018,경기-00838,경기도,산림환경연구소,경기도,김포,통진,서암,50,22,72
2018,경기-00839,경기도,산림환경연구소,경기도,남양주,수동,수산,55,24,79
2018,경기-00836,경기도,산림환경연구소,경기도,김포,월곶,군하,94,40,134
2018,경기-00835,경기도,산림환경연구소,경기도,군포,,속달,257,110,367
2018,경기-00834,경기도,산림환경연구소,경기도,광주,초월,신월,161,69,230
2018,경기-00833,경기도,산림환경연구소,경기도,광주,도척,도웅,35,15,50
2018,경기-00832,경기도,산림환경연구소,경기도,광주,도척,도웅,93,40,133
2018,경기-00831,경기도,산림환경연구소,경기도,광주,곤지암,유사,279,119,398
2018,경기-00830,경기도,산림환경연구소,경기도,광명,,소하,196,84,280
2018,경기-00829,경기도,산림환경연구소,경기도,과천,,문원,134,58,192
2018,경기-00828,경기도,산림환경연구소,경기도,과천,,갈현,79,34,113
2018,경기-00827,경기도,산림환경연구소,경기도,고양,덕양,벽제,49,21,70
2018,경기-00826,경기도,산림환경연구소,경기도,고양,덕양,고양,136,58,194
2018,경기-00825,경기도,산림환경연구소,경기도,가평,상,행현,88,38,125
2018,경기-00824,경기도,산림환경연구소,경기도,가평,상,행현,118,51,169
2018,경기-00823,경기도,산림환경연구소,경기도,가평,북,백둔,34,15,49
2018,경기-00883,경기도,산림환경연구소,경기도,포천,화현,화현,120,51,171
2018,경기-00882,경기도,산림환경연구소,경기도,포천,화현,화현,251,108,359
2018,경기-00881,경기도,산림환경연구소,경기도,포천,화현,지현,94,40,134
2018,경기-00880,경기도,산림환경연구소,경기도,포천,화현,명덕,148,63,211
2018,경기-00879,경기도,산림환경연구소,경기도,포천,영북,소회산,62,26,88
2018,경기-00878,경기도,산림환경연구소,경기도,포천,영북,대회산,284,122,405
2018,경기-00877,경기도,산림환경연구소,경기도,포천,내촌,소학,118,50,168
2018,경기-00876,경기도,산림환경연구소,경기도,파주,파평,설마,69,30,99
2018,경기-00875,경기도,산림환경연구소,경기도,파주,적성,장현,133,57,190
2018,경기-00874,경기도,산림환경연구소,경기도,파주,법원,웅담,109,47,155
2018,경기-00873,경기도,산림환경연구소,경기도,파주,법원,갈곡,81,35,115
2018,경기-00872,경기도,산림환경연구소,경기도,파주,군내,방목,103,44,147
2018,경기-00871,경기도,산림환경연구소,경기도,이천,마장,목,71,31,102
2018,경기-00870,경기도,산림환경연구소,경기도,의정부,,자일,220,94,314
2018,경기-00869,경기도,산림환경연구소,경기도,의정부,,금오,175,75,250
2018,경기-00868,경기도,산림환경연구소,경기도,용인,이동,목,57,24,81
2018,경기-00867,경기도,산림환경연구소,경기도,연천,청산,대전,88,38,125
2018,경기-00866,경기도,산림환경연구소,경기도,연천,전곡,늘복,186,80,265
2018,경기-00865,경기도,산림환경연구소,경기도,연천,신서,대광,92,39,131
2018,경기-00864,경기도,산림환경연구소,경기도,연천,신서,대광,214,92,306
2018,경기-00863,경기도,산림환경연구소,경기도,여주,북내,상교,125,53,178
2018,경기-00862,경기도,산림환경연구소,경기도,여주,금사,하호,195,84,279
2018,경기-00861,경기도,산림환경연구소,경기도,여주,금사,하호,182,78,260
2018,경기-00860,경기도,산림환경연구소,경기도,여주,금사,하호,177,76,253
2018,경기-00859,경기도,산림환경연구소,경기도,여주,금사,상호,95,41,136
2018,경기-00858,경기도,산림환경연구소,경기도,여주,강천,도전,151,65,215
2018,경기-00857,경기도,산림환경연구소,경기도,여주,강천,강천,128,55,183
2018,경기-00856,경기도,산림환경연구소,경기도,양평,옥천,용천,158,68,225
2018,경기-00855,경기도,산림환경연구소,경기도,양평,개군,구미,83,35,118
2018,경기-00854,경기도,산림환경연구소,경기도,양평,개군,구미,172,74,246
2018,경기-00853,경기도,산림환경연구소,경기도,양주,은현,하패,74,32,105
2018,경기-00852,경기도,산림환경연구소,경기도,안양,,석수,105,45,150
2018,경기-00851,경기도,산림환경연구소,경기도,안성,일죽,신흥,106,46,152
2018,경기-00850,경기도,산림환경연구소,경기도,안성,일죽,고은,37,16,53
2018,경기-00849,경기도,산림환경연구소,경기도,안성,서운,인,92,40,132
2018,경기-00848,경기도,산림환경연구소,경기도,안성,고삼,쌍지,84,36,120
2018,경기-00847,경기도,산림환경연구소,경기도,안산,상록,부곡,172,74,246
2018,경기-00846,경기도,산림환경연구소,경기도,안산,단원,선감,105,45,150
2018,경기-00845,경기도,산림환경연구소,경기도,동두천,,하봉임,146,62,208
2018,경기-00844,경기도,산림환경연구소,경기도,동두천,,탑,298,128,425
2018,경기-00843,경기도,산림환경연구소,경기도,동두천,,광암,141,60,201
2018,경기-00842,경기도,산림환경연구소,경기도,남양주,화도,가곡,13,6,19
2018,경기-00841,경기도,산림환경연구소,경기도,남양주,오남,팔현,114,49,163
2018,경기-00840,경기도,산림환경연구소,경기도,남양주,수동,수산,35,15,50
2018,경기-00837,경기도,산림환경연구소,경기도,김포,월곶,군하,95,41,135
2017,경기-00758,경기도,산림환경연구소,경기도,가평,북,목동,196,84,280
2017,경기-00757,경기도,산림환경연구소,경기도,가평,북,도대,10,4,14
2017,경기-00822,경기도,산림환경연구소,경기도,화성,,신,120,52,172
2017,경기-00821,경기도,산림환경연구소,경기도,포천,화현,명덕,120,51,171
2017,경기-00820,경기도,산림환경연구소,경기도,포천,이동,노곡,13,6,19
2017,경기-00819,경기도,산림환경연구소,경기도,포천,영북,산정,97,42,139
2017,경기-00818,경기도,산림환경연구소,경기도,포천,신북,기지,63,27,90
2017,경기-00817,경기도,산림환경연구소,경기도,포천,신북,기지,114,49,163
2017,경기-00816,경기도,산림환경연구소,경기도,포천,신북,금동,73,31,104
2017,경기-00815,경기도,산림환경연구소,경기도,포천,소흘,이동교,131,56,187
2017,경기-00814,경기도,산림환경연구소,경기도,포천,소홀,이곡,22,10,32
2017,경기-00813,경기도,산림환경연구소,경기도,포천,내촌,마명,197,84,281
2017,경기-00812,경기도,산림환경연구소,경기도,파주,적성,설마,94,40,134
2017,경기-00811,경기도,산림환경연구소,경기도,파주,적성,설마,95,41,135
2017,경기-00810,경기도,산림환경연구소,경기도,파주,광탄,방축,33,14,47
2017,경기-00809,경기도,산림환경연구소,경기도,이천,호법,매곡,268,115,383
2017,경기-00808,경기도,산림환경연구소,경기도,이천,신둔,표고,100,43,143
