도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,교통량,준공년도
고속국도,고속국도451호선,(구)달성터널,대구광역시,달성군,논공읍,본리리,565,9.8,,6.9,19679,1977
고속국도,고속국도55호선,가곡터널(상행선),경상남도,밀양시,가곡동,,376,10,7.5,6,23277,2006
고속국도,고속국도55호선,가곡터널(하행선),경상남도,밀양시,가곡동,,376,10,7.5,6,23277,2006
고속국도,고속국도151호선,가덕터널(공주),충청남도,부여군,옥산면,가덕리,373,10.7,,7.3,10172,2009
고속국도,고속국도151호선,가덕터널(서천),충청남도,부여군,옥산면,가덕리,373,10.7,,7.3,10172,2009
고속국도,고속국도55호선,가산터널(부산),경상북도,칠곡군,가산면,석우리,748,10,,6.7,26463,2000
고속국도,고속국도55호선,가산터널(춘천),경상북도,칠곡군,가산면,석우리,765,10,,6.7,26463,1995
고속국도,고속국도12호선,가야1터널(광주),경상남도,합천군,가야면,성기리,1214,12.8,,8.2,11085,2015
고속국도,고속국도12호선,가야1터널(대구),경상남도,합천군,가야면,성기리,1229,12.8,,8.2,11085,2015
고속국도,고속국도12호선,가야2터널(광주),경상남도,합천군,가야면,성기리,742,12.2,,7.2,11085,2015
고속국도,고속국도12호선,가야2터널(대구),경상남도,합천군,가야면,성기리,750,12.2,,7.2,11085,2015
고속국도,고속국도12호선,가야3터널(광주),경상남도,합천군,가야면,청현리,1692,12.7,,7.3,11085,2015
고속국도,고속국도12호선,가야3터널(대구),경상남도,합천군,가야면,청현리,1684,12.7,,7.3,11085,2015
고속국도,고속국도35호선,가옥터널(통영),전라북도,무주군,무주읍,가옥리,620,11.2,,6.7,12300,2001
고속국도,고속국도35호선,가옥터널(하남),전라북도,무주군,무주읍,가옥리,640,11.2,,6.7,12300,2001
고속국도,고속국도12호선,가조터널(광주),경상남도,거창군,가조면,도리,1573,12.8,,8.2,11085,2015
고속국도,고속국도12호선,가조터널(대구),경상남도,거창군,가조면,도리,1559,12.8,,8.2,11085,2015
고속국도,고속국도65호선,강릉1터널(삼척),강원도,강릉시,옥계면,낙풍리,535,11.2,,7.3,13329,2004
고속국도,고속국도65호선,강릉1터널(속초),강원도,강릉시,옥계면,낙풍리,450,13.8,,8.3,13329,2004
고속국도,고속국도65호선,강릉2터널(삼척),강원도,강릉시,강동면,산성우리,210,11.8,,7.5,12840,2004
고속국도,고속국도65호선,강릉2터널(속초),강원도,강릉시,강동면,산성우리,210,11.8,,7.5,12840,2004
고속국도,고속국도65호선,강릉3터널(삼척),강원도,강릉시,강동면,산성우리,140,11.8,,7.5,12840,2004
고속국도,고속국도65호선,강릉3터널(속초),강원도,강릉시,강동면,산성우리,140,11.8,,7.5,12840,2004
고속국도,고속국도65호선,강릉4터널(삼척),강원도,강릉시,강동면,임곡리,960,11.8,,7.3,12840,2004
고속국도,고속국도65호선,강릉4터널(속초),강원도,강릉시,강동면,산성우리,960,11.9,,7.3,12840,2004
