시군구,2019년 평균 강수량,2020년 평균 강수량,2020년 태양광 부지 총면적,시/군/구 면적,지역별 터널 총 길이,2018년도 직전 산지사방(보전) (ha),2018년도 직전  계류보전 (km),2018년도 직전  사방댐 (개),2019년도 직전  산지사방(보전) (ha),2019년도 직전  계류보전 (km),2019년도 직전  사방댐 (개),2020년 산사태피해면적,2020년  발생건수
가평군,174.4666667,382.5,482828.04,843.7,17174.9,0.38,0.36,4,0.16,0.81,,15.13,19
고양시,180.3333333,349,47179.6,268.1,1864,0,0.15,,0.33,,,,
과천시,193.1666667,388.6666667,,35.9,2769,0.1,,1,,0.13,1,,
광명시,149.6666667,326.6666667,,38.5,11241,,0.2,,0.4,0.1,1,,
광주시,173.5333333,358.6666667,11604,431,30337,0.3,0.63,4,0.05,0.41,4,,
구리시,181.9333333,407.6666667,,33.3,3605,,,,,,,,
군포시,146.8333333,360.5,660,36.4,15267,0.35,1,1,,0.16,1,,
김포시,106.7,351.5,,276.6,758.1,,0.21,1,0.2,0.35,1,0.55,3
남양주시,187.3333333,393.7,,458.1,34195.7,0.2,0.62,5,0.01,0.33,2,0.05,1
동두천시,176.1,378.1333333,,95.7,7898,,,,,0.49,3,,
부천시,155,307.5,,53.5,510,,,,,,,,
성남시,155.3333333,365.5,,141.6,37405.3,,,,,,,,
수원시,125.8666667,378.3666667,22729,121.1,2892,,,,,,,,
시흥시,125.8,320.8333333,2534.41,139.7,2580,,,,,,,,
안산시,127.6666667,333.6666667,,156.4,8868,,,,,0.35,1,,
안성시,118.5333333,381.9,,553.5,14905,0.88,0.9,3,0.25,0.59,3,78.33,94
안양시,157,359.3333333,,156.4,13292,0.18,0.1,2,,0.1,,,
양주시,154.3,384.8333333,,310.4,21673,0.07,0.57,7,0.1,,1,4.71,10
양평군,154.8666667,303.3666667,328387.748,877.7,11592,0.15,0.06,1,,0.89,,14.42,16
여주시,131.7,382.0333333,,608.3,17530,0.08,0.42,1,,1.38,6,0.03,2
연천군,162.6,371.8,990101.54,676.3,298,1.36,1.18,6,,1.03,2,5.58,24
오산시,135.1666667,380.1666667,,42.7,745,,,,,,,,
용인시,120.2,401,,591.2,30770.5,0.2,0.39,3,,0.1,1,15.13,25
의왕시,149.4,305.7333333,,54,8270,,,,,,,,
의정부시,175.5,425.5,,81.6,10253,,,,0.02,0.8,3,,
이천시,125.3666667,398.4,,461.4,2857,0.17,0.51,3,,0.06,1,32.8,45
파주시,161.2333333,335.3666667,,673.9,7107,0.01,0.4,1,1.51,1.07,1,0.16,2
평택시,117.1333333,361.2333333,,458.2,1747,,,,,,,0.06,1
포천시,169.5666667,357.0666667,,826.9,10060,0.3,1.54,4,0.07,1.31,8,0.46,5
하남시,200,377.5,,93,3442,,,,,,,0.04,1
화성시,122.7,336.0666667,,698.2,5202,,0.1,1,,,,,
