허가기관명,시군명,용도,세부용도,사업상태,발전소명,소재지도로명주소,소재지지번주소,설비용량(KW),공급전압(V),주파수(Hz),사업허가일자,사업개시예정일자,사업개시일자,소요부지면적(㎡),집광판면적(㎡),위도,경도,설치위치구분,지목,비고,데이터기준일자
가평군,가평군,전기사업용,발전사업용,사업허가,(주)남창파워 태양광발전소,,"경기도 가평군 북면 화악리 산 335-1 , 산336-1",98.55,380,60,2018-06-27,,,2435,,,,임야,임야,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,(주)남창파워 태양광발전소,,"경기도 가평군 북면 화악리 산 335-1 , 산336-1",98.55,380,60,2018-06-27,,,2435,,,,임야,임야,,2021-06-24
가평군,가평군,전기사업용,발전사업용,사업허가,180501-이곡1호 솔라 태양광발전소,,경기도 가평군 북면 이곡리 344번지 1호,280,22900,60,2018-06-20,,,2953,,37.88378699,127.5296262,전,전,,2021-06-24
가평군,가평군,전기사업용,발전사업용,사업허가,180501-이곡1호 솔라 태양광발전소,,경기도 가평군 북면 이곡리 344번지 1호,280,22900,60,2018-06-20,,,2953,,,,전,전,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,180615-이곡6호 솔라 태양광발전소,,"경기도 가평군 북면 이곡리 342 , 339-2, 339-7",150.12,380,60,2018-07-24,,,2575,,,,전,전,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,180615-이곡6호 솔라 태양광발전소,,"경기도 가평군 북면 이곡리 342 , 339-2, 339-7",150.12,380,60,2018-07-24,,,2575,,,,전,전,,2021-06-24
가평군,가평군,전기사업용,발전사업용,사업허가,B&J 1호 태양광발전소,,"경기도 가평군 설악면 설곡리 산 79 , 154",500,22900,60,2018-04-10,,,,,,,,,,2021-06-24
가평군,가평군,전기사업용,발전사업용,사업허가,B&J 1호 태양광발전소,,"경기도 가평군 설악면 설곡리 산 79 , 154",500,22900,60,2018-04-10,,,,,,,,,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,B&J 2호 태양광발전소,,"경기도 가평군 설악면 설곡리 산 79 , 154",500,22900,60,2018-04-10,,,,,,,,,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,B&J 2호 태양광발전소,,"경기도 가평군 설악면 설곡리 산 79 , 154",500,22900,60,2018-04-10,,,,,,,,,,2021-06-24
가평군,가평군,전기사업용,발전사업용,사업허가,B&J 3호 태양광발전소,,"경기도 가평군 설악면 설곡리 산 79 , 154, 155",500,22900,60,2018-04-10,,,,,,,,,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,B&J 3호 태양광발전소,,"경기도 가평군 설악면 설곡리 산 79 , 154, 155",500,22900,60,2018-04-10,,,,,,,,,,2021-06-24
가평군,가평군,전기사업용,발전사업용,허가취소,CHK 태양광발전소,,"경기도 가평군 북면 목동리 237-11 , 107",400,22900,60,2018-06-20,,,5280,,37.91544314,127.5945697,임야,임야,,2022-06-14
가평군,가평군,전기사업용,발전사업용,허가취소,CHK 태양광발전소,,"경기도 가평군 북면 목동리 237-11 , 107",400,22900,60,2018-06-20,,,5280,,37.91544314,127.5945697,임야,임야,,2021-06-24
가평군,가평군,전기사업용,발전사업용,운영중,CRM 태양광발전소,,경기도 가평군 상면 태봉리 142번지,196.56,380,60,2018-10-11,,2019-07-03,2450,,37.81223155,127.338629,,전,,2022-06-14
가평군,가평군,전기사업용,발전사업용,운영중,CRM 태양광발전소,,경기도 가평군 상면 태봉리 142번지,196.56,380,60,2018-10-11,,2019-07-03,2450,,37.81223155,127.338629,,전,,2021-06-24
가평군,가평군,전기사업용,발전사업용,운영중,DR에너지1호 태양광발전소,,"경기도 가평군 상면 임초리 산 7-3 산 7-7, 56-8",498,380,60,2018-05-31,,2019-10-24,,,,,,,,2022-06-14
가평군,가평군,전기사업용,발전사업용,운영중,DR에너지1호 태양광발전소,,"경기도 가평군 상면 임초리 산 7-3 산 7-7, 56-8",498,380,60,2018-05-31,,2019-10-24,,,,,,,,2021-06-24
가평군,가평군,전기사업용,발전사업용,운영중,DR에너지2호 태양광발전소,,"경기도 가평군 상면 임초리 산 7-3 (산7-7), 56-8",498,380,60,2018-05-31,,2019-10-24,,,,,임야,", 잡",,2021-06-24
가평군,가평군,전기사업용,발전사업용,운영중,DR에너지2호 태양광발전소,,"경기도 가평군 상면 임초리 산 7-3 (산7-7), 56-8",498,380,60,2018-05-31,,2019-10-24,,,,,임야,", 잡",,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,DR에너지3호 태양광발전소,,경기도 가평군 상면 임초리 산 7-3,498.76,380,60,2018-05-31,,,,,37.77457162,127.3860397,임야,,,2021-06-24
가평군,가평군,전기사업용,발전사업용,사업허가,DR에너지3호 태양광발전소,,경기도 가평군 상면 임초리 산 7-3,498.76,380,60,2018-05-31,,,,,37.77457162,127.3860397,임야,,,2022-06-14
가평군,가평군,전기사업용,발전사업용,사업허가,GS칼텍스 인재개발원 태양광발전소,경기도 가평군 설악면 용문천길 251-56,경기도 가평군 설악면 사룡리 525번지 GS칼텍스청평연구소,19.4,380,60,2018-05-31,,,120,,37.69793284,127.4845162,건축물,대,,2021-06-24
