산사태피해면적,산사태재해명,산사태재해년도,시군구명,읍면명
3.15,7.28.~8.11.,2020,양평군,단월면
2.57,7.28.~8.11.,2020,양평군,단월면
2.28,7.28.~8.11.,2020,양평군,단월면
2.19,7.28.~8.11.,2020,양평군,단월면
1.96,7.28.~8.11.,2020,이천시,호법면
1.95,7.28.~8.11.,2020,연천군,신서면
1.94,7.28.~8.11.,2020,안성시,죽산면
1.65,7.28.~8.11.,2020,이천시,호법면
1.4,7.28.~8.11.,2020,연천군,신서면
1.3,7.28.~8.11.,2020,안성시,일죽면
1.25,7.28.~8.11.,2020,안성시,죽산면
1.06,7.28.~8.11.,2020,안성시,금광면
0.5,7.28.~8.11.,2020,가평군,가평읍
0.7,7.28.~8.11.,2020,양평군,서종면
0.69,7.28.~8.11.,2020,용인시 처인구,이동읍
0.67,7.28.~8.11.,2020,이천시,장호원읍
0.66,7.28.~8.11.,2020,양평군,청운면
0.58,7.28.~8.11.,2020,이천시,호법면
0.56,7.28.~8.11.,2020,양평군,단월면
0.54,7.28.~8.11.,2020,안성시,죽산면
0.49,7.28.~8.11.,2020,용인시 처인구,이동읍
0.41,7.28.~8.11.,2020,양평군,청운면
0.38,7.28.~8.11.,2020,양평군,단월면
0.34,7.28.~8.11.,2020,용인시 처인구,원삼면
0.2,7.28.~8.11.,2020,양평군,용문면
3.43,7.28.~8.11.,2020,안성시,일죽면
3.37,7.28.~8.11.,2020,안성시,죽산면
2.91,7.28.~8.11.,2020,안성시,일죽면
2.9,7.28.~8.11.,2020,용인시 처인구,백암면
2.6,7.28.~8.11.,2020,안성시,죽산면
2.52,7.28.~8.11.,2020,안성시,삼죽면
2.39,7.28.~8.11.,2020,안성시,죽산면
2.28,7.28.~8.11.,2020,이천시,마장면
1.93,7.28.~8.11.,2020,가평군,청평면
1.84,7.28.~8.11.,2020,안성시,죽산면
1.8,7.28.~8.11.,2020,안성시,죽산면
1.77,7.28.~8.11.,2020,안성시,죽산면
1.66,7.28.~8.11.,2020,이천시,호법면
1.62,7.28.~8.11.,2020,안성시,일죽면
1.55,7.28.~8.11.,2020,안성시,일죽면
1.52,7.28.~8.11.,2020,안성시,일죽면
1.5,7.28.~8.11.,2020,용인시 처인구,원삼면
1.09,7.28.~8.11.,2020,가평군,상면
1.46,7.28.~8.11.,2020,이천시,장호원읍
1.41,7.28.~8.11.,2020,이천시,율면
1.4,7.28.~8.11.,2020,안성시,죽산면
1.4,7.28.~8.11.,2020,안성시,일죽면
1.37,7.28.~8.11.,2020,가평군,가평읍
1.35,7.28.~8.11.,2020,안성시,죽산면
1.27,7.28.~8.11.,2020,가평군,가평읍
1.27,7.28.~8.11.,2020,안성시,일죽면
1.26,7.28.~8.11.,2020,이천시,호법면
1.24,7.28.~8.11.,2020,안성시,일죽면
1.22,7.28.~8.11.,2020,용인시 처인구,백암면
1.2,7.28.~8.11.,2020,안성시,일죽면
1.2,7.28.~8.11.,2020,안성시,일죽면
1.18,7.28.~8.11.,2020,가평군,청평면
1.18,7.28.~8.11.,2020,이천시,율면
1.15,7.28.~8.11.,2020,안성시,죽산면
1.15,7.28.~8.11.,2020,이천시,호법면
1.08,7.28.~8.11.,2020,이천시,율면
1.1,7.28.~8.11.,2020,가평군,청평면
1.02,7.28.~8.11.,2020,이천시,모가면
1.02,7.28.~8.11.,2020,안성시,일죽면
0.99,7.28.~8.11.,2020,안성시,죽산면
0.98,7.28.~8.11.,2020,가평군,가평읍
0.98,7.28.~8.11.,2020,이천시,마장면
0.94,7.28.~8.11.,2020,안성시,죽산면
0.94,7.28.~8.11.,2020,안성시,일죽면
0.93,7.28.~8.11.,2020,이천시,장호원읍
0.93,7.28.~8.11.,2020,안성시,죽산면
0.92,7.28.~8.11.,2020,안성시,죽산면
0.82,7.28.~8.11.,2020,이천시,호법면
0.8,7.28.~8.11.,2020,이천시,모가면
0.8,7.28.~8.11.,2020,용인시 처인구,원삼면
0.8,7.28.~8.11.,2020,용인시 처인구,백암면
0.75,7.28.~8.11.,2020,이천시,모가면
0.76,7.28.~8.11.,2020,가평군,청평면
0.75,7.28.~8.11.,2020,가평군,상면
0.73,7.28.~8.11.,2020,안성시,일죽면
0.72,7.28.~8.11.,2020,양평군,서종면
0.72,7.28.~8.11.,2020,이천시,마장면
0.71,7.28.~8.11.,2020,안성시,죽산면
0.71,7.28.~8.11.,2020,안성시,죽산면
0.71,7.28.~8.11.,2020,안성시,죽산면
0.7,7.28.~8.11.,2020,용인시 처인구,원삼면
0.7,7.28.~8.11.,2020,안성시,죽산면
0.67,7.28.~8.11.,2020,안성시,죽산면
0.67,7.28.~8.11.,2020,안성시,일죽면
0.66,7.28.~8.11.,2020,안성시,죽산면
0.65,7.28.~8.11.,2020,안성시,일죽면
0.64,7.28.~8.11.,2020,가평군,청평면
0.63,7.28.~8.11.,2020,안성시,죽산면
0.62,7.28.~8.11.,2020,이천시,호법면
0.61,7.28.~8.11.,2020,안성시,죽산면
0.61,7.28.~8.11.,2020,안성시,일죽면
0.6,7.28.~8.11.,2020,용인시 처인구,백암면
0.6,7.28.~8.11.,2020,안성시,죽산면
0.6,7.28.~8.11.,2020,안성시,일죽면
0.6,7.28.~8.11.,2020,안성시,일죽면
0.6,7.28.~8.11.,2020,안성시,일죽면
0.6,7.28.~8.11.,2020,안성시,일죽면
0.59,7.28.~8.11.,2020,안성시,일죽면
0.59,7.28.~8.11.,2020,이천시,호법면
0.58,7.28.~8.11.,2020,이천시,율면
0.58,7.28.~8.11.,2020,안성시,죽산면
0.58,7.28.~8.11.,2020,안성시,죽산면
0.57,7.28.~8.11.,2020,안성시,죽산면
0.57,7.28.~8.11.,2020,안성시,죽산면
0.57,7.28.~8.11.,2020,안성시,죽산면
0.57,7.28.~8.11.,2020,안성시,죽산면
0.56,7.28.~8.11.,2020,가평군,가평읍
0.56,7.28.~8.11.,2020,안성시,죽산면
0.55,7.28.~8.11.,2020,이천시,호법면
0.54,7.28.~8.11.,2020,안성시,죽산면
0.54,7.28.~8.11.,2020,이천시,호법면
0.53,7.28.~8.11.,2020,이천시,율면
0.53,7.28.~8.11.,2020,용인시 처인구,원삼면
0.53,7.28.~8.11.,2020,안성시,죽산면
0.53,7.28.~8.11.,2020,안성시,일죽면
0.52,7.28.~8.11.,2020,이천시,호법면
0.51,7.28.~8.11.,2020,안성시,죽산면
0.51,7.28.~8.11.,2020,가평군,가평읍
0.5,7.28.~8.11.,2020,이천시,모가면
0.5,7.28.~8.11.,2020,이천시,마장면
0.5,7.28.~8.11.,2020,용인시 처인구,백암면
0.48,7.28.~8.11.,2020,안성시,일죽면
0.48,7.28.~8.11.,2020,안성시,일죽면
0.47,7.28.~8.11.,2020,이천시,율면
0.47,7.28.~8.11.,2020,안성시,죽산면
0.46,7.28.~8.11.,2020,안성시,일죽면
0.46,7.28.~8.11.,2020,안성시,일죽면
0.64,7.28.~8.11.,2020,가평군,청평면
0.45,7.28.~8.11.,2020,이천시,호법면
0.45,7.28.~8.11.,2020,용인시 처인구,백암면
0.45,7.28.~8.11.,2020,안성시,일죽면
0.45,7.28.~8.11.,2020,가평군,가평읍
0.44,7.28.~8.11.,2020,안성시,죽산면
0.44,7.28.~8.11.,2020,가평군,가평읍
0.44,7.28.~8.11.,2020,안성시,일죽면
0.43,7.28.~8.11.,2020,이천시,장호원읍
0.43,7.28.~8.11.,2020,안성시,죽산면
0.43,7.28.~8.11.,2020,안성시,일죽면
0.43,7.28.~8.11.,2020,안성시,일죽면
0.42,7.28.~8.11.,2020,안성시,죽산면
0.42,7.28.~8.11.,2020,안성시,일죽면
0.42,7.28.~8.11.,2020,안성시,삼죽면
0.41,7.28.~8.11.,2020,용인시 처인구,백암면
0.42,7.28.~8.11.,2020,이천시,마장면
0.4,7.28.~8.11.,2020,용인시 처인구,백암면
0.4,7.28.~8.11.,2020,용인시 처인구,백암면
0.4,7.28.~8.11.,2020,안성시,죽산면
0.4,7.28.~8.11.,2020,가평군,가평읍
0.39,7.28.~8.11.,2020,안성시,죽산면
0.39,7.28.~8.11.,2020,안성시,죽산면
0.39,7.28.~8.11.,2020,안성시,일죽면
0.38,7.28.~8.11.,2020,이천시,호법면
0.39,7.28.~8.11.,2020,이천시,대월면
0.38,7.28.~8.11.,2020,안성시,삼죽면
0.38,7.28.~8.11.,2020,이천시,장호원읍
0.36,7.28.~8.11.,2020,이천시,모가면
0.36,7.28.~8.11.,2020,용인시 처인구,백암면
0.36,7.28.~8.11.,2020,안성시,죽산면
0.36,7.28.~8.11.,2020,안성시,죽산면
0.36,7.28.~8.11.,2020,용인시 처인구,원삼면
0.35,7.28.~8.11.,2020,용인시 처인구,양지면
0.35,7.28.~8.11.,2020,안성시,죽산면
0.35,7.28.~8.11.,2020,안성시,일죽면
0.35,7.28.~8.11.,2020,용인시 처인구,백암면
0.34,7.28.~8.11.,2020,연천군,신서면
0.35,7.28.~8.11.,2020,이천시,호법면
0.33,7.28.~8.11.,2020,이천시,호법면
0.33,7.28.~8.11.,2020,이천시,율면
0.33,7.28.~8.11.,2020,용인시 처인구,백암면
0.33,7.28.~8.11.,2020,안성시,죽산면
0.33,7.28.~8.11.,2020,안성시,죽산면
0.33,7.28.~8.11.,2020,양평군,용문면
0.3,7.28.~8.11.,2020,용인시 처인구,원삼면
0.3,7.28.~8.11.,2020,안성시,죽산면
0.3,7.28.~8.11.,2020,가평군,청평면
0.28,7.28.~8.11.,2020,이천시,마장면
0.28,7.28.~8.11.,2020,이천시,장호원읍
0.26,7.28.~8.11.,2020,가평군,조종면
0.24,7.28.~8.11.,2020,김포시,월곶면
0.22,7.28.~8.11.,2020,이천시,모가면
0.22,7.28.~8.11.,2020,이천시,단월동
0.2,7.28.~8.11.,2020,이천시,율면
0.19,7.28.~8.11.,2020,안성시,일죽면
0.18,7.28.~8.11.,2020,연천군,백학면
0.17,7.28.~8.11.,2020,포천시,신북면
0.17,7.28.~8.11.,2020,안성시,일죽면
0.15,7.28.~8.11.,2020,용인시 수지구,성복동
0.15,7.28.~8.11.,2020,양평군,양동면
0.12,7.28.~8.11.,2020,연천군,신서면
0.11,7.28.~8.11.,2020,포천시,신북면
0.11,7.28.~8.11.,2020,용인시 처인구,백암면
0.1,7.28.~8.11.,2020,포천시,창수면
0.1,7.28.~8.11.,2020,파주시,파주읍
0.1,7.28.~8.11.,2020,연천군,중면
0.1,7.28.~8.11.,2020,연천군,백학면
0.1,7.28.~8.11.,2020,연천군,미산면
0.09,7.28.~8.11.,2020,용인시 처인구,백암면
0.09,7.28.~8.11.,2020,안성시,죽산면
0.08,7.28.~8.11.,2020,안성시,일죽면
0.08,7.28.~8.11.,2020,양평군,단월면
0.06,7.28.~8.11.,2020,포천시,영중면
0.06,7.28.~8.11.,2020,평택시,비전동
0.06,7.28.~8.11.,2020,파주시,법원읍
0.06,7.28.~8.11.,2020,연천군,신서면
0.05,7.28.~8.11.,2020,연천군,신서면
0.04,7.28.~8.11.,2020,하남시,초일동
0.04,7.28.~8.11.,2020,연천군,연천읍
0.04,7.28.~8.11.,2020,안성시,일죽면
0.04,7.28.~8.11.,2020,안성시,금광면
0.03,7.28.~8.11.,2020,양평군,양평읍
0.03,7.28.~8.11.,2020,안성시,보개면
0.02,7.28.~8.11.,2020,여주시,점동면
0.02,7.28.~8.11.,2020,포천시,신읍동
0.02,7.28.~8.11.,2020,이천시,신둔면
0.01,7.28.~8.11.,2020,여주시,가남읍
0.01,7.28.~8.11.,2020,연천군,중면
0.01,7.28.~8.11.,2020,연천군,연천읍
0.01,7.28.~8.11.,2020,양평군,강상면
0.01,7.28.~8.11.,2020,안성시,서운면
0.05,6.29.~6.30.,2020,남양주시,진접읍
0.15,7.24.~7.28.,2019,김포시,대곶면
0.01,8.26.~9.1.,2018,연천군,청산면
0.09,8.26.~9.1.,2018,연천군,청산면
0.16,8.26.~9.1.,2018,연천군,중면
0.06,8.26.~9.1.,2018,연천군,중면
0.16,8.26.~9.1.,2018,연천군,중면
0.2,8.26.~9.1.,2018,연천군,전곡읍
0.07,8.26.~9.1.,2018,연천군,연천읍
0.06,8.26.~9.1.,2018,연천군,연천읍
0.17,8.26.~9.1.,2018,연천군,연천읍
0.08,8.26.~9.1.,2018,연천군,연천읍
0.06,8.26.~9.1.,2018,연천군,군남면
0.15,8.26.~9.1.,2018,양주시,장흥면
0.04,8.26.~9.1.,2018,양주시,장흥면
0.05,8.26.~9.1.,2018,양주시,장흥면
0.3,8.26.~9.1.,2018,양주시,장흥면
2,8.26.~9.1.,2018,양주시,장흥면
0.5,8.26.~9.1.,2018,양주시,장흥면
0.1,8.26.~9.1.,2018,양주시,남면
0.02,8.26.~9.1.,2018,양주시,남면
1.5,8.26.~9.1.,2018,양주시,남면
0.05,8.26.~9.1.,2018,양주시,남면
0.16,8.26.~9.1.,2018,김포시,대곶면
